domain,item_id,question,dataset,response_code,response_label,health_score,is_correct_option,count,percent
knowledge,k1,What is dental plaque?,overall,0,Hard mineral deposit on the teeth,0.0,False,74,29.48
knowledge,k1,What is dental plaque?,overall,1,A soft film of bacteria and food debris on the teeth,1.0,True,129,51.39
knowledge,k1,What is dental plaque?,overall,2,Stains caused by coffee or tea,0.0,False,25,9.96
knowledge,k1,What is dental plaque?,overall,3,Protective layer on the enamel,0.0,False,23,9.16
knowledge,k1,What is dental plaque?,observed,0,Hard mineral deposit on the teeth,0.0,False,30,29.7
knowledge,k1,What is dental plaque?,observed,1,A soft film of bacteria and food debris on the teeth,1.0,True,52,51.49
knowledge,k1,What is dental plaque?,observed,2,Stains caused by coffee or tea,0.0,False,11,10.89
knowledge,k1,What is dental plaque?,observed,3,Protective layer on the enamel,0.0,False,8,7.92
knowledge,k1,What is dental plaque?,generated,0,Hard mineral deposit on the teeth,0.0,False,44,29.33
knowledge,k1,What is dental plaque?,generated,1,A soft film of bacteria and food debris on the teeth,1.0,True,77,51.33
knowledge,k1,What is dental plaque?,generated,2,Stains caused by coffee or tea,0.0,False,14,9.33
knowledge,k1,What is dental plaque?,generated,3,Protective layer on the enamel,0.0,False,15,10.0
knowledge,k2,What is dental calculus (tartar)?,overall,0,Hard mineral deposit on the teeth,1.0,True,129,51.39
knowledge,k2,What is dental calculus (tartar)?,overall,1,Stains caused by coffee or tea,0.0,False,50,19.92
knowledge,k2,What is dental calculus (tartar)?,overall,2,A soft film of bacteria and food debris,0.0,False,32,12.75
knowledge,k2,What is dental calculus (tartar)?,overall,3,Protective layer on the enamel,0.0,False,40,15.94
knowledge,k2,What is dental calculus (tartar)?,observed,0,Hard mineral deposit on the teeth,1.0,True,51,50.5
knowledge,k2,What is dental calculus (tartar)?,observed,1,Stains caused by coffee or tea,0.0,False,21,20.79
knowledge,k2,What is dental calculus (tartar)?,observed,2,A soft film of bacteria and food debris,0.0,False,15,14.85
knowledge,k2,What is dental calculus (tartar)?,observed,3,Protective layer on the enamel,0.0,False,14,13.86
knowledge,k2,What is dental calculus (tartar)?,generated,0,Hard mineral deposit on the teeth,1.0,True,78,52.0
knowledge,k2,What is dental calculus (tartar)?,generated,1,Stains caused by coffee or tea,0.0,False,29,19.33
knowledge,k2,What is dental calculus (tartar)?,generated,2,A soft film of bacteria and food debris,0.0,False,17,11.33
knowledge,k2,What is dental calculus (tartar)?,generated,3,Protective layer on the enamel,0.0,False,26,17.33
